Temperature (K),B2V (Hard Sphere (Å^3/mol)),B2V (Square Well(Å^3/mol)),B2V (Lennard-Jones(Å^3/mol))
346.0,4.938359897252319e+25,2.49735066913779e+24,-5.476169004223117e+24
347.0,4.938359897252319e+25,2.6563167051951735e+24,-5.339514939802745e+24
348.0,4.938359897252319e+25,2.814216885143071e+24,-5.203761364430789e+24
349.0,4.938359897252319e+25,2.97106182071158e+24,-5.068899766533761e+24
350.0,4.938359897252319e+25,3.12686198405492e+24,-4.934921740511551e+24
351.0,4.938359897252319e+25,3.281627710026642e+24,-4.8018189850987356e+24
352.0,4.938359897252319e+25,3.4353691984110374e+24,-4.66958330175574e+24
353.0,4.938359897252319e+25,3.588096516111167e+24,-4.53820659308984e+24
354.0,4.938359897252319e+25,3.7398195992948356e+24,-4.407680861305025e+24
355.0,4.938359897252319e+25,3.8905482554991034e+24,-4.27799820668044e+24
356.0,4.938359897252319e+25,4.040292165694745e+24,-4.1491508260763196e+24
357.0,4.938359897252319e+25,4.189060886310889e+24,-4.021131011467453e+24
358.0,4.938359897252319e+25,4.336863851221452e+24,-3.893931148502758e+24
359.0,4.938359897252319e+25,4.4837103736935765e+24,-3.7675437150914735e+24
360.0,4.938359897252319e+25,4.629609648299347e+24,-3.641961280014518e+24
361.0,4.938359897252319e+25,4.774570752791259e+24,-3.5171765015608173e+24
362.0,4.938359897252319e+25,4.918602649942662e+24,-3.393182126188111e+24
363.0,4.938359897252319e+25,5.061714189353303e+24,-3.2699709872078663e+24
364.0,4.938359897252319e+25,5.203914109221384e+24,-3.1475360034933167e+24
365.0,4.938359897252319e+25,5.345211038082486e+24,-3.0258701782107044e+24
366.0,4.938359897252319e+25,5.485613496516253e+24,-2.9049665975729543e+24
367.0,4.938359897252319e+25,5.625129898821076e+24,-2.78481842961527e+24
368.0,4.938359897252319e+25,5.763768554658426e+24,-2.665418922992203e+24
369.0,4.938359897252319e+25,5.901537670666368e+24,-2.5467614057963134e+24
370.0,4.938359897252319e+25,6.03844535204364e+24,-2.428839284396971e+24
371.0,4.938359897252319e+25,6.174499604104836e+24,-2.3116460422996337e+24
372.0,4.938359897252319e+25,6.309708333806836e+24,-2.195175239025138e+24
373.0,4.938359897252319e+25,6.444079351247953e+24,-2.0794205090081306e+24
374.0,4.938359897252319e+25,6.577620371139338e+24,-1.964375560514954e+24
375.0,4.938359897252319e+25,6.710339014250082e+24,-1.8500341745798773e+24
376.0,4.938359897252319e+25,6.842242808826189e+24,-1.7363902039598778e+24
377.0,4.938359897252319e+25,6.97333919198392e+24,-1.6234375721069463e+24
378.0,4.938359897252319e+25,7.103635511078165e+24,-1.511170272158476e+24
379.0,4.938359897252319e+25,7.233139025046412e+24,-1.3995823659449327e+24
380.0,4.938359897252319e+25,7.36185690572868e+24,-1.2886679830136688e+24
381.0,4.938359897252319e+25,7.48979623916392e+24,-1.1784213196700895e+24
382.0,4.938359897252319e+25,7.616964026863556e+24,-1.0688366380346473e+24
383.0,4.938359897252319e+25,7.743367187062385e+24,-9.599082651159085e+23
384.0,4.938359897252319e+25,7.869012555947401e+24,-8.516305918991681e+23
385.0,4.938359897252319e+25,7.99390688886527e+24,-7.439980724501976e+23
386.0,4.938359897252319e+25,8.118056861508203e+24,-6.370052230342835e+23
387.0,4.938359897252319e+25,8.241469071079451e+24,-5.3064662124974585e+23
388.0,4.938359897252319e+25,8.364150037438292e+24,-4.249169051760281e+23
389.0,4.938359897252319e+25,8.486106204225259e+24,-3.1981077253577995e+23
390.0,4.938359897252319e+25,8.607343939967617e+24,-2.1532297987080352e+23
391.0,4.938359897252319e+25,8.727869539166115e+24,-1.1144834173189307e+23
392.0,4.938359897252319e+25,8.847689223362473e+24,-8.18172988165905e+21
