,U (iso),U (SOC),U (SOC+CFS),F (iso),F (SOC),F (SOC+CFS),S (iso),S (SOC),S (SOC+CFS)
1725.2525252525254,-0.0,7.563224366869006e-21,1.0751724418965739e-20,-6.286150567811888e-20,-4.7076945216892425e-20,-4.1953001127733786e-20,3.643611863075959e-23,3.167048428143818e-23,3.054858432539892e-23
1742.4242424242425,-0.0,7.680643070935175e-21,1.0892501973569245e-20,-6.348717640208142e-20,-4.762136841690441e-20,-4.24782760741815e-20,3.6436118630759964e-23,3.1738214891488327e-23,3.0629789015072574e-23
1759.5959595959598,-0.0,7.79717016919256e-21,1.1032213274410141e-20,-6.411284712604397e-20,-4.8166944516196074e-20,-4.3004933275726184e-20,3.643611863076034e-23,3.180477195954177e-23,3.0709588240002466e-23
1776.767676767677,-0.0,7.912796694929267e-21,1.1170851873179921e-20,-6.473851785000651e-20,-4.871365351450483e-20,-4.353294880161592e-20,3.6436118630759964e-23,3.187017320701863e-23,3.078800565240898e-23
1793.939393939394,-0.0,8.027514840299345e-21,1.130841234210726e-20,-6.536418857396905e-20,-4.926147571724519e-20,-4.406229912641497e-20,3.643611863075921e-23,3.1934436493408833e-23,3.0865064793858236e-23
1811.1111111111113,-0.0,8.14131789165815e-21,1.1444890219495797e-20,-6.598985929793159e-20,-4.9810391737510795e-20,-4.4592961127869647e-20,3.6436118630759964e-23,3.1997579775105167e-23,3.094078906924435e-23
1828.2828282828284,-0.0,8.254200167683368e-21,1.1580281957415106e-20,-6.661553002189413e-20,-5.0360382497400314e-20,-4.5124912084348615e-20,3.643611863075959e-23,3.205962106771938e-23,3.10152017231857e-23
1845.4545454545455,7.703719777548943e-34,8.366156960239338e-21,1.1714584871505187e-20,-6.724120074585667e-20,-5.0911429228725393e-20,-4.5658129671898246e-20,3.6436118630759964e-23,3.2120578411652057e-23,3.108832581867833e-23
1862.6262626262628,-0.0,8.477184477876432e-21,1.1847797092848629e-20,-6.786687146981922e-20,-5.146351347315403e-20,-4.61925919609497e-20,3.6436118630759964e-23,3.218046984067962e-23,3.11601842178513e-23
1879.79797979798,-7.703719777548943e-34,8.587279791906938e-21,1.197991752186693e-20,-6.849254219378176e-20,-5.201661708183964e-20,-4.672827741271334e-20,3.6436118630759964e-23,3.2239313353358805e-23,3.123079956468619e-23
1896.969696969697,7.703719777548943e-34,8.696440784968482e-21,1.2110945784174332e-20,-6.91182129177443e-20,-5.257072221458251e-20,-4.726516487529245e-20,3.643611863075959e-23,3.2297126887055386e-23,3.1300194269564704e-23
1914.1414141414143,7.703719777548943e-34,8.804666101990238e-21,1.2240882188347567e-20,-6.974388364170684e-20,-5.31258113385668e-20,-4.780323357954688e-20,3.6436118630759964e-23,3.235392829440155e-23,3.1368390495516687e-23
1931.3131313131314,1.5407439555097887e-33,8.911955103509153e-21,1.2369727685559909e-20,-7.036955436566938e-20,-5.368186722671347e-20,-4.8342463134734433e-20,3.643611863075959e-23,3.2409735322024334e-23,3.1435410146048043e-23
1948.4848484848485,7.703719777548943e-34,9.018307821192522e-21,1.2497483830997477e-20,-7.099522508963192e-20,-5.423887295568682e-20,-4.88828335239566e-20,3.6436118630759964e-23,3.2464565591363464e-23,3.1501274854436766e-23
1965.6565656565658,-0.0,9.123724915555354e-21,1.2624152747040846e-20,-7.162089581359447e-20,-5.479681190358859e-20,-4.9424325099432266e-20,3.643611863075959e-23,3.2518436581444226e-23,3.1566005974390677e-23
1982.828282828283,-7.703719777548943e-34,9.228207635740788e-21,1.274973708811529e-20,-7.2246566537557e-20,-5.535566774737278e-20,-4.9966918577622546e-20,3.643611863075959e-23,3.257136561344878e-23,3.162962457196435e-23
2000.0,0.0,9.279769129508797e-21,1.2811721676173555e-20,-7.287223726151954e-20,-5.591542446001006e-20,-5.0510595034226994e-20,3.643611863075949e-23,3.259759679475919e-23,3.166115835520039e-23
